Date,Open_SPX,High_SPX,Low_SPX,Close_SPX,Volume_SPX,Open_VIX,High_VIX,Low_VIX,Close_VIX
06-12-2012,1409.430054,1413.949951,1405.930054,1413.939941,3229700000,16.59,16.85,16.309999,16.58
07-12-2012,1413.949951,1420.339966,1410.900024,1418.069946,3125160000,16.120001,16.65,15.73,15.9
10-12-2012,1418.069946,1421.640015,1415.640015,1418.550049,2999430000,16.469999,16.469999,15.96,16.049999
11-12-2012,1418.550049,1434.27002,1418.550049,1427.839966,3650230000,15.94,16.01,15.42,15.57
12-12-2012,1427.839966,1438.589966,1426.76001,1428.47998,3709050000,15.6,16.09,15.41,15.95
13-12-2012,1428.47998,1431.359985,1416,1419.449951,3349960000,15.87,16.67,15.71,16.559999
14-12-2012,1419.449951,1419.449951,1411.880005,1413.579956,3210170000,16.68,17.15,16.610001,17
17-12-2012,1413.540039,1430.670044,1413.540039,1430.359985,3455610000,17.200001,17.200001,16.209999,16.34
18-12-2012,1430.469971,1448,1430.469971,1446.790039,4302240000,16.389999,16.43,15.46,15.57
19-12-2012,1446.790039,1447.75,1435.800049,1435.810059,3869800000,16.049999,17.459999,16.040001,17.360001
20-12-2012,1435.810059,1443.699951,1432.819946,1443.689941,3686580000,17.26,17.959999,17.110001,17.67
21-12-2012,1443.670044,1443.670044,1422.579956,1430.150024,5229160000,19.85,19.93,17.76,17.84
24-12-2012,1430.150024,1430.150024,1424.660034,1426.660034,1248960000,18.459999,18.66,17.84,17.84
26-12-2012,1426.660034,1429.420044,1416.430054,1419.829956,2285030000,18.709999,19.629999,18.610001,19.48
27-12-2012,1419.829956,1422.800049,1401.800049,1418.099976,2830180000,19.389999,20.9,19.110001,19.469999
28-12-2012,1418.099976,1418.099976,1401.579956,1402.430054,2426680000,20.32,23.23,19.940001,22.719999
31-12-2012,1402.430054,1426.73999,1398.109985,1426.189941,3204330000,22.139999,22.719999,17.879999,18.02
02-01-2013,1426.189941,1462.430054,1426.189941,1462.420044,4202600000,15.24,15.93,14.6,14.68
03-01-2013,1462.420044,1465.469971,1455.530029,1459.369995,3829730000,14.77,14.92,14.24,14.56
04-01-2013,1459.369995,1467.939941,1458.98999,1466.469971,3424290000,14.23,14.31,13.64,13.83
07-01-2013,1466.469971,1466.469971,1456.619995,1461.890015,3304970000,14.53,14.53,13.71,13.79
08-01-2013,1461.890015,1461.890015,1451.640015,1457.150024,3601600000,13.88,14.29,13.62,13.62
09-01-2013,1457.150024,1464.72998,1457.150024,1461.02002,3674390000,13.32,13.93,13.22,13.81
10-01-2013,1461.02002,1472.300049,1461.02002,1472.119995,4081840000,13.33,13.88,13.33,13.49
11-01-2013,1472.119995,1472.75,1467.579956,1472.050049,3340650000,13.55,13.79,13.22,13.36
14-01-2013,1472.050049,1472.050049,1465.689941,1470.680054,3003010000,13.66,13.85,13.41,13.52
15-01-2013,1470.670044,1473.310059,1463.76001,1472.339966,3135350000,13.97,13.99,13.33,13.55
16-01-2013,1472.329956,1473.959961,1467.599976,1472.630005,3384080000,13.7,13.76,13.2,13.42
17-01-2013,1472.630005,1485.160034,1472.630005,1480.939941,3706710000,13.45,13.7,13.16,13.57
18-01-2013,1480.949951,1485.97998,1475.810059,1485.97998,3795740000,13.52,13.53,12.29,12.46
